election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0047,Bath A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0047,Bath A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,50,tally,
2026 Primary Election,2026-05-05,0048,Bath B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,22,choice,yes
2026 Primary Election,2026-05-05,0048,Bath B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,13,choice,yes
2026 Primary Election,2026-05-05,0048,Bath B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,35,tally,
2026 Primary Election,2026-05-05,0048,Bath B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0048,Bath B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0048,Bath B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,37,tally,
2026 Primary Election,2026-05-05,0049,Bath C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,14,choice,yes
2026 Primary Election,2026-05-05,0049,Bath C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,1,choice,yes
2026 Primary Election,2026-05-05,0049,Bath C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,15,tally,
2026 Primary Election,2026-05-05,0049,Bath C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0049,Bath C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0049,Bath C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,17,tally,
2026 Primary Election,2026-05-05,0050,Bath D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,29,choice,yes
2026 Primary Election,2026-05-05,0050,Bath D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,10,choice,yes
2026 Primary Election,2026-05-05,0050,Bath D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,39,tally,
2026 Primary Election,2026-05-05,0050,Bath D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,1,tally,
2026 Primary Election,2026-05-05,0050,Bath D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0050,Bath D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,43,tally,
2026 Primary Election,2026-05-05,0051,Bath E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,10,choice,yes
2026 Primary Election,2026-05-05,0051,Bath E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,7,choice,yes
2026 Primary Election,2026-05-05,0051,Bath E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,17,tally,
2026 Primary Election,2026-05-05,0051,Bath E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0051,Bath E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0051,Bath E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,19,tally,
2026 Primary Election,2026-05-05,0052,Bath F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,23,choice,yes
2026 Primary Election,2026-05-05,0052,Bath F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,11,choice,yes
2026 Primary Election,2026-05-05,0052,Bath F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,34,tally,
2026 Primary Election,2026-05-05,0052,Bath F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0052,Bath F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,4,tally,
2026 Primary Election,2026-05-05,0052,Bath F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,38,tally,
2026 Primary Election,2026-05-05,0053,Bath G,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,43,choice,yes
2026 Primary Election,2026-05-05,0053,Bath G,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,2,choice,yes
2026 Primary Election,2026-05-05,0053,Bath G,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,45,tally,
2026 Primary Election,2026-05-05,0053,Bath G,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0053,Bath G,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0053,Bath G,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,48,tally,
2026 Primary Election,2026-05-05,0054,Bath H,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,50,choice,yes
2026 Primary Election,2026-05-05,0054,Bath H,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,14,choice,yes
2026 Primary Election,2026-05-05,0054,Bath H,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,64,tally,
2026 Primary Election,2026-05-05,0054,Bath H,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0054,Bath H,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0054,Bath H,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,65,tally,
2026 Primary Election,2026-05-05,0055,Bath I,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,16,choice,yes
2026 Primary Election,2026-05-05,0055,Bath I,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,1,choice,yes
2026 Primary Election,2026-05-05,0055,Bath I,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,17,tally,
2026 Primary Election,2026-05-05,0055,Bath I,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0055,Bath I,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0055,Bath I,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,18,tally,
2026 Primary Election,2026-05-05,0056,Lafayette,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,5,choice,yes
2026 Primary Election,2026-05-05,0056,Lafayette,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,0,choice,yes
2026 Primary Election,2026-05-05,0056,Lafayette,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,5,tally,
2026 Primary Election,2026-05-05,0056,Lafayette,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0056,Lafayette,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0056,Lafayette,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,5,tally,
2026 Primary Election,2026-05-05,0057,Jackson A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,21,choice,yes
2026 Primary Election,2026-05-05,0057,Jackson A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,10,choice,yes
2026 Primary Election,2026-05-05,0057,Jackson A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,31,tally,
2026 Primary Election,2026-05-05,0057,Jackson A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0057,Jackson A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0057,Jackson A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,32,tally,
2026 Primary Election,2026-05-05,0058,Jackson B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,24,choice,yes
2026 Primary Election,2026-05-05,0058,Jackson B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,5,choice,yes
2026 Primary Election,2026-05-05,0058,Jackson B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,29,tally,
2026 Primary Election,2026-05-05,0058,Jackson B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0058,Jackson B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0058,Jackson B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,32,tally,
2026 Primary Election,2026-05-05,0059,Marion A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,20,choice,yes
2026 Primary Election,2026-05-05,0059,Marion A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,7,choice,yes
2026 Primary Election,2026-05-05,0059,Marion A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,27,tally,
2026 Primary Election,2026-05-05,0059,Marion A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0059,Marion A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0059,Marion A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,28,tally,
2026 Primary Election,2026-05-05,0060,Marion B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,10,choice,yes
2026 Primary Election,2026-05-05,0060,Marion B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,10,choice,yes
2026 Primary Election,2026-05-05,0060,Marion B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,20,tally,
2026 Primary Election,2026-05-05,0060,Marion B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0060,Marion B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0060,Marion B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,23,tally,
2026 Primary Election,2026-05-05,0061,Cairo,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,11,choice,yes
2026 Primary Election,2026-05-05,0061,Cairo,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,4,choice,yes
2026 Primary Election,2026-05-05,0061,Cairo,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,15,tally,
2026 Primary Election,2026-05-05,0061,Cairo,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0061,Cairo,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0061,Cairo,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,16,tally,
2026 Primary Election,2026-05-05,0062,Monroe E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,5,choice,yes
2026 Primary Election,2026-05-05,0062,Monroe E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,4,choice,yes
2026 Primary Election,2026-05-05,0062,Monroe E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,9,tally,
2026 Primary Election,2026-05-05,0062,Monroe E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0062,Monroe E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0062,Monroe E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,10,tally,
2026 Primary Election,2026-05-05,0063,Monroe W,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,8,choice,yes
2026 Primary Election,2026-05-05,0063,Monroe W,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,6,choice,yes
2026 Primary Election,2026-05-05,0063,Monroe W,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,14,tally,
2026 Primary Election,2026-05-05,0063,Monroe W,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0063,Monroe W,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0063,Monroe W,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,16,tally,
2026 Primary Election,2026-05-05,0064,Perry A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,21,choice,yes
2026 Primary Election,2026-05-05,0064,Perry A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,3,choice,yes
2026 Primary Election,2026-05-05,0064,Perry A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,24,tally,
2026 Primary Election,2026-05-05,0064,Perry A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0064,Perry A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0064,Perry A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,26,tally,
2026 Primary Election,2026-05-05,0065,Perry B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,33,choice,yes
2026 Primary Election,2026-05-05,0065,Perry B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,7,choice,yes
2026 Primary Election,2026-05-05,0065,Perry B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,40,tally,
2026 Primary Election,2026-05-05,0065,Perry B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0065,Perry B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0065,Perry B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,42,tally,
2026 Primary Election,2026-05-05,0066,Perry C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,21,choice,yes
2026 Primary Election,2026-05-05,0066,Perry C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,5,choice,yes
2026 Primary Election,2026-05-05,0066,Perry C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,26,tally,
2026 Primary Election,2026-05-05,0066,Perry C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0066,Perry C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0066,Perry C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,27,tally,
2026 Primary Election,2026-05-05,0067,Beaverdam,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,3,choice,yes
2026 Primary Election,2026-05-05,0067,Beaverdam,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,1,choice,yes
2026 Primary Election,2026-05-05,0067,Beaverdam,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,4,tally,
2026 Primary Election,2026-05-05,0067,Beaverdam,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0067,Beaverdam,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0067,Beaverdam,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,4,tally,
2026 Primary Election,2026-05-05,0068,Bluffton A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,76,choice,yes
2026 Primary Election,2026-05-05,0068,Bluffton A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,27,choice,yes
2026 Primary Election,2026-05-05,0068,Bluffton A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,103,tally,
2026 Primary Election,2026-05-05,0068,Bluffton A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,1,tally,
2026 Primary Election,2026-05-05,0068,Bluffton A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,9,tally,
2026 Primary Election,2026-05-05,0068,Bluffton A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,113,tally,
2026 Primary Election,2026-05-05,0069,Bluffton B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,55,choice,yes
2026 Primary Election,2026-05-05,0069,Bluffton B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,16,choice,yes
2026 Primary Election,2026-05-05,0069,Bluffton B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,71,tally,
2026 Primary Election,2026-05-05,0069,Bluffton B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0069,Bluffton B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,15,tally,
2026 Primary Election,2026-05-05,0069,Bluffton B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,86,tally,
2026 Primary Election,2026-05-05,0070,Bluffton C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,33,choice,yes
2026 Primary Election,2026-05-05,0070,Bluffton C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,16,choice,yes
2026 Primary Election,2026-05-05,0070,Bluffton C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,49,tally,
2026 Primary Election,2026-05-05,0070,Bluffton C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0070,Bluffton C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,11,tally,
2026 Primary Election,2026-05-05,0070,Bluffton C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,60,tally,
2026 Primary Election,2026-05-05,0071,Richland A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,26,choice,yes
2026 Primary Election,2026-05-05,0071,Richland A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,9,choice,yes
2026 Primary Election,2026-05-05,0071,Richland A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,35,tally,
2026 Primary Election,2026-05-05,0071,Richland A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0071,Richland A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,4,tally,
2026 Primary Election,2026-05-05,0071,Richland A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,39,tally,
2026 Primary Election,2026-05-05,0072,Richland B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,31,choice,yes
2026 Primary Election,2026-05-05,0072,Richland B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,9,choice,yes
2026 Primary Election,2026-05-05,0072,Richland B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,40,tally,
2026 Primary Election,2026-05-05,0072,Richland B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0072,Richland B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,8,tally,
2026 Primary Election,2026-05-05,0072,Richland B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,48,tally,
2026 Primary Election,2026-05-05,0073,Shawnee A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,34,choice,yes
2026 Primary Election,2026-05-05,0073,Shawnee A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,5,choice,yes
2026 Primary Election,2026-05-05,0073,Shawnee A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,39,tally,
2026 Primary Election,2026-05-05,0073,Shawnee A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0073,Shawnee A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0073,Shawnee A,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,40,tally,
2026 Primary Election,2026-05-05,0074,Shawnee B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,31,choice,yes
2026 Primary Election,2026-05-05,0074,Shawnee B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,10,choice,yes
2026 Primary Election,2026-05-05,0074,Shawnee B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,41,tally,
2026 Primary Election,2026-05-05,0074,Shawnee B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0074,Shawnee B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0074,Shawnee B,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,44,tally,
2026 Primary Election,2026-05-05,0075,Shawnee C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,29,choice,yes
2026 Primary Election,2026-05-05,0075,Shawnee C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,7,choice,yes
2026 Primary Election,2026-05-05,0075,Shawnee C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,36,tally,
2026 Primary Election,2026-05-05,0075,Shawnee C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0075,Shawnee C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0075,Shawnee C,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,38,tally,
2026 Primary Election,2026-05-05,0076,Shawnee D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,59,choice,yes
2026 Primary Election,2026-05-05,0076,Shawnee D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,9,choice,yes
2026 Primary Election,2026-05-05,0076,Shawnee D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,68,tally,
2026 Primary Election,2026-05-05,0076,Shawnee D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0076,Shawnee D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,5,tally,
2026 Primary Election,2026-05-05,0076,Shawnee D,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,73,tally,
2026 Primary Election,2026-05-05,0077,Shawnee E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,31,choice,yes
2026 Primary Election,2026-05-05,0077,Shawnee E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,8,choice,yes
2026 Primary Election,2026-05-05,0077,Shawnee E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,39,tally,
2026 Primary Election,2026-05-05,0077,Shawnee E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0077,Shawnee E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0077,Shawnee E,"Dem For Member of State Central Committee, Woman (12th District)",yes,Contest Total,Contest Total,41,tally,
2026 Primary Election,2026-05-05,0078,Shawnee F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Sharetta T. Smith,Sharetta Smith T.,48,choice,yes
2026 Primary Election,2026-05-05,0078,Shawnee F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Heather Tiefenthaler,Tiefenthaler Heather,17,choice,yes
2026 Primary Election,2026-05-05,0078,Shawnee F,"Dem For Member of State Central Committee, Woman (12th District)",yes,Total Votes Cast,Total Votes Cast,65,tally,
