election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,54,choice,yes
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,54,tally,
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0009,Lima 2B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,55,tally,
2026 Primary Election,2026-05-05,0010,Lima 2C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,53,choice,yes
2026 Primary Election,2026-05-05,0010,Lima 2C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,53,tally,
2026 Primary Election,2026-05-05,0010,Lima 2C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0010,Lima 2C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0010,Lima 2C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,55,tally,
2026 Primary Election,2026-05-05,0011,Lima 3A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,25,choice,yes
2026 Primary Election,2026-05-05,0011,Lima 3A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,25,tally,
2026 Primary Election,2026-05-05,0011,Lima 3A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0011,Lima 3A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0011,Lima 3A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,26,tally,
2026 Primary Election,2026-05-05,0012,Lima 3B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,29,choice,yes
