COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
"Mountaineer Products, Inc.",Belmont,43906-1282,JCTC Job Creation Tax Credit,173531.0,3888000.00,Completed,73,2,07/26/2010,45.00,N/A,3
Sandridge Food Corporation,Medina,44256-1333,JCTC Job Creation Tax Credit,71840.0,5500000.00,Completed,50,328,08/31/2009,N/A,N/A,6
Industry Products Co.,Miami,45356,JCTC Job Creation Tax Credit,101639.0,3820000.00,Completed,50,371,05/21/2012,45.00,N/A,3
The Scotts Miracle-Gro Company,Union,43041-0001,JCTC Job Creation Tax Credit,116210.0,26200000.00,Completed,33,303,07/27/2009,N/A,N/A,5
Thogus Products Company,Lorain,44012-2318,JCTC Job Creation Tax Credit,154687.0,3000000.00,Completed,30,96,05/21/2012,40.00,N/A,6
"Bioformix, Inc.",Clermont,45140-6964,JCTC Job Creation Tax Credit,520455.0,2116000.00,Completed,43,8,01/30/2012,45.00,N/A,4
"Comcage, LLC",Clermont,45140,JCTC Job Creation Tax Credit,70000.0,0.00,Cancelled,10,18,12/05/2016,N/A,2.155,6
"Eco-Groupe, Inc., The",Montgomery,45414-3427,JCTC Job Creation Tax Credit,147381.0,13600000.00,Completed,48,160,02/25/2013,50.00,N/A,6
"Dayton Freight Lines, Inc.",Montgomery,45414-2647,JCTC Job Creation Tax Credit,250000.0,11800000.00,Servicing,51,200,05/22/2017,N/A,1.383,7
"Baker Hughes Oilfield Operations, Inc.",Stark,44646,JCTC Job Creation Tax Credit,9455025.0,40000000.00,Cancelled,700,0,02/27/2012,65.00,N/A,10
"Nucor Steel Marion, Inc.",Marion,43302-6208,JCTC Job Creation Tax Credit,200000.0,85000000.00,Completed,15,259,04/24/2017,N/A,1.844,8
Union Tank Car Company,Marion,43302,JCTC Job Creation Tax Credit,607000.0,10000000.00,Servicing,200,117,06/01/2015,N/A,1.468,5
"KDM Signs, Inc.",Hamilton,45241,JCTC Job Creation Tax Credit,107343.0,4500000.00,Completed,30,259,01/31/2011,45.00,N/A,6
Waypoint Aviation LLC,Hamilton,45226,JCTC Job Creation Tax Credit,174000.0,1921798.00,Servicing,40,4,06/01/2015,N/A,1.437,6
The Potter Davis Building,Guernsey,,Ohio Historic Preservation Tax Credit,713489.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
117/119 E.Main Street,Perry,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Cancelled,N/A,N/A,06/20/2018,N/A,N/A,N/A
"Oprona, Inc.",Franklin,,JCTC Job Creation Tax Credit,420000.0,5145000.00,Approved,70,41,07/27/2020,N/A,1.534,7
Fidelity Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,1675000.0,N/A,Cancelled,N/A,N/A,12/12/2018,N/A,N/A,N/A
"Greenwood Fuels, LLC",,,JCTC Job Creation Tax Credit,70540.0,9550000.00,Cancelled,29,0,12/06/2010,40.00,N/A,7
Dixon Building,Lorain,,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
Nathaniel Hawthorne Elementary School,Cuyahoga,,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
"Process Plus Holdings, Inc.",,,JCTC Job Creation Tax Credit,209130.0,1300000.00,Cancelled,25,0,04/28/2014,45.00,N/A,6
FIDELITY MEDICAL BUILDING,Montgomery,,Ohio Historic Preservation Tax Credit,4133458.0,N/A,Cancelled,N/A,N/A,12/12/2018,N/A,N/A,N/A
G-Tekt North America Corporation,Franklin,43016,JCTC Job Creation Tax Credit,562249.0,100000.00,Servicing,77,0,04/29/2013,55.00,N/A,8
Univar Solutions USA Inc.,Franklin,43016-1213,JCTC Job Creation Tax Credit,1545000.0,0.00,Servicing,225,313,06/24/2019,N/A,1.706,9
Tom and Chee Worldwide LLC,Hamilton,45202,JCTC Job Creation Tax Credit,286483.0,1050000.00,Cancelled,65,4,12/02/2013,45.00,N/A,7
Union Central Life Annex,Hamilton,45202,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
